_PartitionInfo,JpegTest
_RNNCell,KeywordRequired
AbsOpTest,L2LossTest
AccumulateNBenchmark,L2NormalizeTest
AccumulateNTest,LBetaTest
AdjustBrightnessTest,LBetaTestGpu(LBetaTest):
AdjustContrastTest,LogPoissonLossTest
AdjustGamma,LogPoissonLossTest
AdjustGamma,LogSoftmaxTest
AdjustHueBenchmark,LogSumExpTest
AdjustHueTest,MiniMNISTTest
AdjustSaturationBenchmark,MinOrMaxGradientTest
AdjustSaturationTest,MinOrMaxGradientTest
AdjustSaturationTest,ModTest
AggregationMethod,MomentsTest
and,MomentsTest
Barrier,MultiRNNCell
BatchNormalizationTest,NormalizeMomentsTest
BatchNormBenchmark,NormalizeMomentsTest
BatchQueue(QueueBase):,Ones(Initializer):
biases.,Ones(Initializer):
BigQueryReader,OnlyRealGradientsTest
BigQueryReaderOpsTest,Orthogonal(Initializer):
BigQueryReaderOpsTest,PaddingFIFOQueue(QueueBase):
BigQueryRequestHandler,PadToBoundingBoxTest
CentralCropTest,PartitionedVariable
CleanupFunc,PartitionedVariableIterator
CompilationEnabledInGradientTest,PartitionedVariableIterator
CompilationEnabledInGradientTest,PerImageWhiteningTest
ComputeSampledLogitsTest,PngTest
ConcatBenchmark,PreventGradientTest
CondContext(ControlFlowContext):,PriorityQueue(QueueBase):
ConditionalAccumulator(ConditionalAccumulatorBase),QueueBase
ConditionalAccumulatorBase,RandomFlipTest
ConditionalAccumulatorBase,RandomNormal(Initializer):
Constant(Initializer):,RandomShuffleQueue(QueueBase):
ContextTest(TensorFlowTestCase):,RandomShuffleQueue(QueueBase):
ControlFlowContext,RandomUniform(Initializer):
ControlFlowContext,ReaderBase
ControlFlowState,RecordInput
Conv2DTest,RecordInput
ConvertImageTest,ReduceTest
CReluTest,ResizeBicubicBenchmark
CReluTest,ResizeBilinearBenchmark
CropAndResizeOpTest,ResizeBilinearOpTest
CropAndResizeOpTest,ResizeImagesTest
CropToBoundingBoxTest,ResizeImageWithCropOrPadTest
DequantizeOpTest,ResizeMethod
DivAndModTest,ResizeNearestNeighborOpTest
DivideDelegateWithName,ResourceVariable
DropoutTest,RGBToHSVTest
EinsumTest,RoundTest
EinsumTest,RoundTest
embeddings.,SaveSliceInfo
embeddings.,ScalarMulTest
FakeBigQueryServer,SegmentMinOrMaxGradientTest
FIFOQueue(QueueBase):,SelectDistortedCropBoxTest
FixedLenFeature(collections.namedtuple(,ShapeTestCase(TensorFlowTestCase):
FixedLenFeature(collections.namedtuple(,SigmoidCrossEntropyWithLogitsTest
FixedLengthRecordReader(ReaderBase):,SoftmaxTest
FixedLenSequenceFeature(collections.namedtuple(,SparseConditionalAccumulator(ConditionalAccumulatorBase)
FlipTransposeRotateTest,SparseFeature(
FuncRegistry,SplitBenchmark
FunctionGradientsTest,SquaredDifferenceOpTest
GifTest,SquaredDifferenceTest
GradientCheckerTest,StagingArea
GradientsTest,StopGradientTest
GradLoopState,StopGradientTest
GrayscaleToRGBTest,SufficientStatisticsTest
GroupTestCase(TensorFlowTestCase),SwitchTestCase(TensorFlowTestCase):
HessianTest,Template
HessianVectorProductTest,TensorArray
HistogramFixedWidthTest,TensorHandle
IdentityReader(ReaderBase):,TextLineReader(ReaderBase):
IndexedSlicesToTensorTest,TFRecordReader(ReaderBase):
Initializer,TotalVariationTest
,TruncatedNormal(Initializer):
,UniformUnitScaling(Initializer):
,Variable
,VariableScope
,VariableScope
,VarianceScaling(Initializer):
,VarianceScaling(Initializer):
,VarLenFeature
,WeightedCrossEntropyTest
,WeightedMomentsTest
,WhileContext(ControlFlowContext):
,WholeFileReader(ReaderBase):
,WholeFileReader(ReaderBase):
,WithDependenciesTestCase(TensorFlowTestCase):
,WithDependenciesTestCase(TensorFlowTestCase):
,ZeroFractionTest
,Zeros(Initializer):
